first_name,last_name,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100
derrick,williams,38,38,1141,11.8,19.9,0.595,9.6,16.0,0.601,2.2,3.9,0.568,12.9,17.4,0.746,16.5,2.3,1.9,1.4,5.2,5.6,38.8,128.8,97.3
tristan,thompson,36,34,1104,9.2,16.8,0.546,9.2,16.8,0.546,0.0,0.0,,6.8,14.0,0.48700000000000004,15.1,2.4,1.8,4.6,3.4,5.3,25.2,112.5,89.3
brandon,knight,38,38,1363,9.6,22.8,0.423,5.8,12.5,0.461,3.9,10.2,0.377,6.0,7.6,0.795,6.8,7.1,1.1,0.4,5.3,3.7,29.1,109.9,101.5
kemba,walker,41,41,1543,12.6,29.4,0.428,9.6,20.4,0.47100000000000003,3.0,9.0,0.33,10.3,12.5,0.8190000000000001,8.9,7.3,3.1,0.3,3.7,2.2,38.4,121.2,98.9
jimmer,fredette,37,37,1323,14.7,32.5,0.452,9.4,19.2,0.491,5.3,13.3,0.396,10.7,12.0,0.894,5.4,6.8,2.1,0.0,5.6,2.1,45.4,118.0,100.0
klay,thompson,34,33,1179,11.9,27.3,0.436,7.0,15.1,0.466,4.9,12.2,0.39799999999999797,7.7,9.2,0.838,8.8,6.3,2.8,1.6,5.7,4.9,36.3,109.8,95.8
alec,burks,38,37,1193,12.2,25.9,0.469,10.8,21.3,0.508,1.4,4.7,0.292,12.1,14.6,0.825,12.0,5.4,2.0,0.6,4.8,4.3,37.8,120.2,106.0
markieff,morris,38,34,926,12.1,20.5,0.589,10.5,16.8,0.625,1.5,3.7,0.424,6.4,9.5,0.6729999999999979,19.6,3.3,1.9,2.7,4.8,6.7,32.1,121.5,88.1
marcus,morris,38,35,1076,12.8,22.4,0.57,11.4,18.4,0.62,1.4,4.1,0.342,7.9,11.5,0.688,15.5,3.3,1.7,1.3,3.6,5.2,34.9,126.5,92.5
kawhi,leonard,36,36,1172,11.3,25.4,0.444,10.0,20.8,0.478,1.3,4.6,0.29100000000000004,5.9,7.8,0.759,20.4,4.9,2.7,1.1,4.1,4.8,29.8,112.5,86.3
nikola,vucevic,34,34,1187,11.3,22.3,0.505,9.7,18.0,0.542,1.5,4.3,0.349,6.4,8.5,0.755,18.3,2.8,0.9,2.5,3.0,5.0,30.5,119.0,94.3
iman,shumpert,31,31,992,10.3,25.4,0.406,7.9,16.6,0.474,2.4,8.8,0.278,8.2,10.2,0.8059999999999979,10.7,6.3,5.0,0.3,4.2,5.0,31.3,109.8,92.8
chris,singleton,28,25,814,8.8,20.3,0.434,6.3,13.6,0.466,2.5,6.7,0.368,6.0,8.9,0.667,13.6,2.3,3.9,2.9,4.3,6.4,26.0,105.6,84.2
tobias,harris,34,33,993,11.1,24.1,0.46,9.7,19.6,0.49700000000000005,1.4,4.6,0.303,7.7,10.2,0.753,14.8,2.6,1.4,1.7,3.7,4.2,31.3,112.7,98.8
nolan,smith,37,37,1259,11.8,25.7,0.45799999999999896,9.2,18.3,0.501,2.6,7.4,0.35,8.5,10.4,0.813,7.5,8.6,2.0,0.1,5.3,3.3,34.6,116.8,96.0
kenneth,faried,35,34,1216,11.9,19.1,0.623,11.9,19.1,0.623,0.0,0.0,,7.1,12.3,0.5770000000000001,26.0,1.9,3.4,4.2,4.7,5.5,31.0,121.0,84.0
reggie,jackson,34,32,1161,11.8,23.4,0.503,7.9,14.3,0.556,3.8,9.1,0.42,5.9,7.4,0.7959999999999979,7.8,8.2,1.9,1.0,4.4,3.1,33.2,122.8,109.8
marshon,brooks,32,31,1168,13.1,27.1,0.483,9.9,17.8,0.558999999999999,3.2,9.4,0.34,8.0,10.4,0.772,10.7,3.8,2.3,1.9,4.7,3.8,37.5,118.3,104.4
jordan,hamilton,36,36,1159,12.4,28.1,0.44,7.8,16.2,0.48100000000000004,4.6,11.9,0.385,4.8,6.2,0.779,14.1,3.9,1.6,1.2,3.9,3.3,34.2,115.5,90.6
jajuan,johnson,34,33,1203,12.9,26.2,0.494,12.2,23.6,0.516,0.8,2.6,0.294,8.5,10.5,0.809,14.7,1.7,1.5,4.0,2.8,2.7,35.2,117.2,90.3
norris,cole,36,36,1285,11.8,26.8,0.439,9.4,19.8,0.473,2.4,7.0,0.342,10.6,12.5,0.853,9.8,8.9,3.7,0.1,4.5,4.1,36.5,117.7,92.8
cory,joseph,36,36,1166,6.9,16.3,0.42200000000000004,4.3,9.9,0.429,2.6,6.4,0.413,2.6,3.7,0.6990000000000001,6.5,5.5,1.9,0.6,2.7,3.3,19.0,112.7,95.0
