first_name,last_name,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM
kyle,anderson,24.7,0.5660000000000001,0.517,0.154,0.493,603,4.5,25.5,15.4,34.3,3.1,2.7,19.1,24.1,3.1,2.6,5.6,0.188999999999999,4.7,6.2,10.8
kj,mcdaniels,28.4,0.5660000000000001,0.505,0.303,0.402,579,8.8,15.9,12.5,12.8,2.3,8.9,13.3,29.1,3.6,3.1,6.7,0.221,5.6,7.3,12.9
joe,harris-,18.7,0.565,0.547,0.5329999999999989,0.337,407,2.7,9.8,6.3,18.1,2.2,0.9,10.9,23.3,2.6,2.4,5.0,0.187,6.3,3.3,9.6
cleanthony,early,26.5,0.627,0.57,0.45899999999999896,0.46399999999999897,507,5.9,18.6,12.5,6.4,1.8,3.3,12.9,28.8,3.6,2.5,6.1,0.24600000000000002,5.3,1.9,7.1
jarnell,stokes,27.6,0.5760000000000001,0.531,0.0,0.613,575,15.3,23.1,19.2,13.7,1.4,2.9,13.7,24.6,4.2,2.6,6.8,0.22699999999999898,5.8,4.3,10.0
johnny,obryant,18.7,0.526,0.495,0.00699999999999999,0.455,507,10.8,16.6,13.7,11.5,1.0,2.9,17.8,28.5,1.2,1.5,2.7,0.106,0.0,1.2,1.2
deandre,daniels,20.0,0.558999999999999,0.531,0.299,0.222,437,6.3,16.9,12.0,3.6,1.4,5.2,11.2,24.2,2.1,2.4,4.4,0.16,1.2,2.9,4.1
spencer,dinwiddie,24.8,0.667,0.565,0.48100000000000004,0.9079999999999989,248,1.8,9.6,5.8,26.3,2.9,0.8,13.8,21.0,2.2,0.8,3.1,0.231,8.8,1.7,10.5
jerami,grant,21.6,0.547,0.496,0.019,0.664,379,9.1,17.2,13.0,9.4,1.7,2.5,9.5,21.1,2.8,1.9,4.6,0.185,3.3,2.5,5.8
glenn,robinson,18.9,0.5660000000000001,0.532,0.29,0.308,450,6.0,11.5,8.8,7.6,1.9,1.0,9.7,22.3,2.8,1.4,4.2,0.142,4.4,1.6,6.1
nick,johnson,21.5,0.5489999999999989,0.498,0.35700000000000004,0.395,573,3.0,11.1,7.2,17.6,2.1,2.0,10.2,26.3,3.6,3.1,6.7,0.212,5.7,4.6,10.3
markel,brown,22.0,0.591,0.541,0.361,0.483,562,3.5,12.9,8.4,16.9,1.6,3.1,10.0,23.1,3.7,2.0,5.7,0.191,5.9,2.9,8.8
dwight,powell,19.7,0.527,0.475,0.10300000000000001,0.557,537,7.3,17.3,12.5,20.4,2.4,2.8,17.8,26.0,1.8,2.0,3.8,0.131,2.0,4.5,6.5
jordan,clarkson,20.2,0.547,0.48200000000000004,0.244,0.418,605,2.9,9.3,6.4,23.3,1.9,0.6,14.3,27.9,3.2,1.2,4.4,0.142,3.8,0.2,4.0
russ,smith,26.2,0.5760000000000001,0.541,0.376,0.451,662,2.9,9.6,6.2,31.6,4.0,0.4,15.2,30.7,3.9,2.9,6.7,0.249,7.9,3.2,11.1
lamar,patterson,24.2,0.569,0.528,0.45,0.382,591,3.8,14.4,9.2,29.9,2.8,1.2,14.7,29.1,3.6,2.3,5.9,0.2,8.4,3.4,11.7
cameron,bairstow,29.0,0.611,0.557999999999999,0.00699999999999999,0.7,627,8.5,16.5,12.8,11.8,1.0,4.9,10.7,29.9,4.5,2.0,6.5,0.23199999999999898,4.9,2.6,7.5
