first_name,last_name,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS_48,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
anthony,brown,11.0,159.0,7.2,0.43,0.54,0.0,5.3,16.9,11.0,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0.0,0.001,-3.8,-0.2,-4.0,-0.1
rakeem,christmas,29.0,219.0,10.4,0.529,0.0,0.674,13.5,15.2,14.4,2.5,0.7,2.4,12.5,13.1,0.3,0.2,0.5,0.099,-3.0,-1.2,-4.2,-0.1
richaun,holmes,57.0,1193.0,18.6,0.611,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,2.2,1.6,3.8,0.151,0.2,1.5,1.7,1.1
darrun,hilliard,39.0,381.0,5.9,0.45899999999999996,0.365,0.222,0.6,9.2,4.7,12.3,1.5,0.4,16.8,19.3,-0.6,0.4,-0.2,-0.027000000000000003,-5.0,-1.1,-6.1,-0.4
josh,richardson,53.0,1614.0,10.7,0.493,0.442,0.15,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8,0.3,1.9,2.2,0.066,-1.0,1.1,0.2,0.9
pat,connaughton,39.0,316.0,11.8,0.645,0.45799999999999996,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13.0,0.4,0.2,0.6,0.09,-0.9,-1.6,-2.5,0.0
olivier,hanlan,,,,,,,,,,,,,,,,,,,,,,
joseph,young,33.0,135.0,11.4,0.433,0.319,0.20800000000000002,0.8,13.1,7.1,18.0,1.5,0.0,6.0,27.8,-0.2,0.1,-0.1,-0.022000000000000002,-3.5,-3.8,-7.3,-0.2
andrew,harrison,33.0,681.0,11.2,0.499,0.353,0.41100000000000003,2.7,10.0,6.4,17.7,1.7,1.9,13.1,19.0,0.2,0.5,0.7,0.049,-1.9,-0.7,-2.7,-0.1
marcus,thornton,,,,,,,,,,,,,,,,,,,,,,
norman,powell,76.0,1368.0,14.0,0.552,0.342,0.314,2.2,11.8,7.0,9.3,1.9,0.9,10.8,21.1,1.4,1.4,2.8,0.09699999999999999,-0.4,-1.1,-1.5,0.2
dakari,johnson,,,,,,,,,,,,,,,,,,,,,,
aaron,white,,,,,,,,,,,,,,,,,,,,,,
tyler,harvey,,,,,,,,,,,,,,,,,,,,,,
sirdominic,pointer,,,,,,,,,,,,,,,,,,,,,,
cady,lalanne,,,,,,,,,,,,,,,,,,,,,,
branden,dawson,,,,,,,,,,,,,,,,,,,,,,
jp,tokoto,,,,,,,,,,,,,,,,,,,,,,
