first_name,last_name,last_college_season,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%
allen,crabbe,2012-13,0.197,0.663,0.492,0.41,0.469,0.422,0.393,0.348,0.891,0.297,0.813
carrick,felix,2012-13,0.447,0.657,0.532,0.185,0.371,0.462,0.368,0.374,0.962,0.323,0.664
isaiah,canaan,2012-13,0.202,0.554,0.125,0.289,0.451,0.108,0.509,0.37,0.426,0.371,0.822
glen,rice-jr,2011-12,0.22,0.776,0.342,0.377,0.405,0.265,0.404,0.333,0.667,0.296,0.606
ray,mccallum,2012-13,0.452,0.68,0.388,0.25,0.349,0.132,0.298,0.323,0.5,0.47,0.717
tony,mitchell,2012-13,0.333,0.774,0.427,0.352,0.25,0.286,0.314,0.3,0.6,0.494,0.675
nate,wolters,2012-13,0.311,0.652,0.257,0.351,0.44,0.026,0.339,0.379,0.438,0.461,0.813
jeff,withey,2012-13,0.632,0.687,0.696,0.365,0.397,0.717,0.003,1,1,0.604,0.714
grant,jerrett,2012-13,0.175,0.667,0.5,0.312,0.271,0.769,0.513,0.405,1,0.143,0.818
jamaal,franklin,2012-13,0.249,0.657,0.522,0.384,0.382,0.233,0.367,0.28,0.548,0.56,0.786
pierre,jackson,2012-13,0.257,0.623,0.259,0.259,0.359,0.149,0.484,0.359,0.5,0.474,0.8
mike,muscala,2012-13,0.437,0.662,0.434,0.527,0.4,0.543,0.036,0.25,1,0.509,0.789
erick,green,2012-13,0.227,0.664,0.217,0.487,0.437,0.111,0.285,0.389,0.656,0.485,0.816
ryan,kelly,2012-13,0.189,0.575,0.478,0.42,0.427,0.395,0.392,0.422,0.943,0.401,0.812
erik,murphy,2012-13,0.252,0.688,0.509,0.248,0.468,0.405,0.5,0.453,0.972,0.16,0.784
james,ennis,2012-13,0.34,0.754,0.432,0.243,0.356,0.125,0.418,0.355,0.655,0.407,0.834
romero,osby,2012-13,0.438,0.662,0.344,0.508,0.411,0.319,0.054,0.5,1,0.586,0.794
lorenzo,brown,2012-13,0.41,0.599,0.171,0.362,0.314,0.079,0.228,0.263,0.65,0.419,0.771
colton,iverson,2012-13,0.666,0.692,0.533,0.334,0.418,0.341,0.0,---,---,0.73,0.589
arsalan,kazemi,2012-13,0.895,0.635,0.537,0.1,0.263,0.2,0.005,0,---,0.795,0.675
peyton,siva,2012-13,0.363,0.592,0.27,0.253,0.31,0.074,0.384,0.288,0.842,0.285,0.867
alex,oriakhi,2012-13,0.787,0.688,0.53,0.213,0.457,0.238,0.0,---,---,0.657,0.746
deshaun,thomas,2012-13,0.224,0.71,0.462,0.418,0.389,0.411,0.358,0.344,0.972,0.289,0.834
anthony,davis,2011-12,0.516,0.874,0.612,0.424,0.385,0.418,0.059,0.15,1,0.602,0.709
michael,kidd-gilchrist,2011-12,0.439,0.699,0.45,0.405,0.356,0.319,0.156,0.255,1,0.589,0.745
bradley,beal,2011-12,0.349,0.65,0.36,0.178,0.329,0.304,0.473,0.339,0.905,0.44,0.769
dion,waiters,2011-12,0.414,0.627,0.371,0.274,0.404,0.289,0.312,0.364,0.769,0.338,0.733
thomas,robinson,2011-12,0.515,0.644,0.632,0.458,0.351,0.494,0.026,0.462,0.833,0.473,0.672
damian,lillard,2011-12,0.358,0.599,0.17,0.178,0.352,0.226,0.465,0.409,0.574,0.519,0.887
harrison,barnes,2011-12,0.173,0.733,0.455,0.563,0.386,0.204,0.263,0.358,0.837,0.375,0.723
terrence,ross,2011-12,0.185,0.69,0.55,0.402,0.439,0.277,0.413,0.371,0.875,0.2,0.766
